energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
260.000000, 96.000000,   -0.54100,  0.29600,NP,   NSSN, 0.024, 1.000
260.000000,104.000000,   -0.11700,  0.18600,NP,   NSSN, 0.024, 1.000
260.000000,112.000000,   -0.18600,  0.14500,NP,   NSSN, 0.024, 1.000
260.000000,120.000000,    0.22100,  0.41200,NP,   NSSN, 0.024, 1.000
260.000000,104.000000,   -0.27400,  0.33400,NP,   NSSN, 0.024, 1.000
260.000000,112.000000,   -0.21600,  0.16200,NP,   NSSN, 0.024, 1.000
260.000000,120.000000,   -0.02900,  0.12700,NP,   NSSN, 0.024, 1.000
260.000000,128.000000,   -0.01000,  0.11300,NP,   NSSN, 0.024, 1.000
260.000000,136.000000,   -0.00500,  0.10600,NP,   NSSN, 0.024, 1.000
260.000000,144.000000,    0.11800,  0.10800,NP,   NSSN, 0.024, 1.000
260.000000,152.000000,    0.10100,  0.12700,NP,   NSSN, 0.024, 1.000
260.000000,160.000000,    0.07300,  0.23200,NP,   NSSN, 0.024, 1.000
315.000000, 80.000000,   -0.67700,  0.49200,NP,   NSSN, 0.019, 1.000
315.000000, 88.000000,    0.05900,  0.18400,NP,   NSSN, 0.019, 1.000
315.000000, 96.000000,   -0.24800,  0.12800,NP,   NSSN, 0.019, 1.000
315.000000,104.000000,    0.05800,  0.10400,NP,   NSSN, 0.019, 1.000
315.000000,112.000000,   -0.05200,  0.09100,NP,   NSSN, 0.019, 1.000
315.000000,120.000000,   -0.22300,  0.28300,NP,   NSSN, 0.019, 1.000
315.000000,104.000000,   -0.07600,  0.13400,NP,   NSSN, 0.019, 1.000
315.000000,112.000000,    0.09200,  0.09700,NP,   NSSN, 0.019, 1.000
315.000000,120.000000,   -0.15900,  0.08600,NP,   NSSN, 0.019, 1.000
315.000000,128.000000,    0.07500,  0.07900,NP,   NSSN, 0.019, 1.000
315.000000,136.000000,    0.18300,  0.07500,NP,   NSSN, 0.019, 1.000
315.000000,144.000000,    0.05000,  0.07500,NP,   NSSN, 0.019, 1.000
315.000000,152.000000,    0.12900,  0.08900,NP,   NSSN, 0.019, 1.000
315.000000,162.000000,    0.07300,  0.15800,NP,   NSSN, 0.019, 1.000
