t_lab,observable,error
293.56118774,3.73151732,.18316165
170.39976992,-2.96901228,.12883254
278.61087745,3.26586809,.17831860
230.34818690,1.24900277,.15784570
184.15104412,-1.75249097,.13280242
124.49859686,-9.08743149,.14799990
209.40260418,.05663156,.14588419
146.83129909,-5.60626853,.13178968
301.77105770,3.96063238,.18589654
292.81133834,3.70968137,.18291774
153.22942100,-4.80624518,.12957108
312.02354706,4.22214284,.18959351
298.78565929,3.87940265,.18488528
277.14253194,3.21656576,.17783254
162.70840683,-3.74207641,.12827107
151.51785001,-5.01328980,.13005661
83.26705886,-20.82728484,.20682263
211.67390629,.19773163,.14720738
272.74427043,3.06487031,.17634816
303.59683642,4.00916091,.18652727
182.72816508,-1.86965840,.13224565
193.36050523,-1.03673838,.13701116
153.09721306,-4.82206463,.12960579
273.52797395,3.09234668,.17661620
153.43756781,-4.78139725,.12951738
83.91047009,-20.55136463,.20564536
164.86371302,-3.51789990,.12829031
246.77045082,2.03533870,.16608245
199.17664080,-.61952128,.14007726
177.28790454,-2.33541610,.13040401
306.83691546,4.09316964,.18767360
274.81319945,3.13698460,.17705227
147.92079118,-5.46487964,.13133385
286.72918562,3.52674928,.18095472
332.48573950,4.66847006,.19853465
127.44372074,-8.55383218,.14514661
299.50670603,3.89923705,.18512745
327.50432122,4.56863889,.19612943
347.49841212,4.93717908,.20674244
138.95484783,-6.69841468,.13603562
136.16493306,-7.11748463,.13793450
256.67823321,2.45657349,.17036752
342.18105530,4.84737995,.20367207
198.68571577,-.65377347,.13980960
255.41193094,2.40479415,.16984808
210.42665746,.12063608,.14648023
266.09294398,2.82365777,.17399580
225.91071250,1.01557287,.15540354
191.39667337,-1.18346349,.13603726
105.21515282,-13.37382419,.17135161
103.54834009,-13.82427418,.17372139
282.18202571,3.38303935,.17948624
202.20117573,-.41224615,.14175459
79.82520588,-22.37981031,.21328014
308.19399925,4.12756410,.18816518
90.90153590,-17.81053116,.19341683
189.05594839,-1.36241605,.13492601
113.37918749,-11.36967937,.16052501
105.58888139,-13.27488959,.17082756
237.13963814,1.58840446,.16141741
317.71671350,4.35612589,.19184410
228.11807352,1.13288185,.15662797
214.83802241,.38918467,.14905350
252.90748235,2.30064302,.16879693
153.13566634,-4.81746051,.12959565
268.10307978,2.89809034,.17472267
263.51061834,2.72603924,.17303905
245.10340787,1.96071847,.16531031
142.13865869,-6.24149705,.13411924
90.20487367,-18.06406064,.19459084
232.81988740,1.37496144,.15917051
191.24873439,-1.19464123,.13596537
327.28253187,4.56406578,.19602597
213.87152081,.33132256,.14848979
153.84045149,-4.73350288,.12941671
344.61228135,4.88915382,.20505427
317.10597078,4.34212521,.19159474
139.15889808,-6.66846492,.13590475
219.21086094,.64439891,.15159228
228.40704114,1.14806282,.15678690
277.72102753,3.23606892,.17802453
105.43428104,-13.31572583,.17104402
101.98540017,-14.26080043,.17599150
254.35739754,2.36122409,.16940938
111.66091129,-11.76564987,.16269375
166.77612813,-3.32402145,.12839934
329.75636926,4.61445172,.19719734
262.58803880,2.69061030,.17269057
264.04896625,2.74657764,.17324074
259.59653583,2.57369177,.17153490
179.53634501,-2.13941095,.13110685
142.49611821,-6.19154883,.13392095
100.71245500,-14.62690084,.17787454
166.68725617,-3.33292901,.12839240
218.87059580,.62491802,.15139576
235.55795204,1.51122119,.16060523
307.03225571,4.09814902,.18774392
299.52811703,3.89982392,.18513466
280.08997314,3.31486511,.17880442
210.80025803,.14382759,.14669793
